"filename", "language", "C++", "comment", "blank", "total"
"c:\Academic\Code\Object-Oriented-Raycasting\include\engine\application.hpp", "C++", 28, 14, 7, 49
"c:\Academic\Code\Object-Oriented-Raycasting\include\engine\billboard.hpp", "C++", 9, 13, 5, 27
"c:\Academic\Code\Object-Oriented-Raycasting\include\engine\billboard_manager.hpp", "C++", 15, 13, 4, 32
"c:\Academic\Code\Object-Oriented-Raycasting\include\engine\camera.hpp", "C++", 15, 13, 7, 35
"c:\Academic\Code\Object-Oriented-Raycasting\include\engine\constantes.hpp", "C++", 12, 11, 7, 30
"c:\Academic\Code\Object-Oriented-Raycasting\include\engine\map.hpp", "C++", 5, 13, 4, 22
"c:\Academic\Code\Object-Oriented-Raycasting\include\engine\raycaster.hpp", "C++", 22, 16, 5, 43
"c:\Academic\Code\Object-Oriented-Raycasting\include\engine\vector2D.hpp", "C++", 74, 20, 24, 118
"c:\Academic\Code\Object-Oriented-Raycasting\include\main.hpp", "C++", 0, 0, 1, 1
"Total", "-", 180, 113, 64, 357
